SYMBOL,NAME,SECTOR,STATUS
TBL,Treet Battery Limited.,AUTOMOBILE PARTS & ACCESSORIES,Compliant
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES,Compliant
TCORPCPS,Tariq Corporation Limited(Pref),SUGAR & ALLIED INDUSTRIES,Compliant
TELE,Telecard Limited,TECHNOLOGY & COMMUNICATION,Compliant
TGL,Tariq Glass Industries Limited,GLASS & CERAMICS,Compliant
THALL,Thal Limited,AUTOMOBILE PARTS & ACCESSORIES,Compliant
THCCL,Thatta Cement Company Limited,CEMENT,Compliant
TICL,The Thal Industries Corporation Limited,SUGAR & ALLIED INDUSTRIES,Compliant
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
TOWL,Towellers Limited,TEXTILE COMPOSITE,Compliant
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,Compliant
TPLI,TPL Insurance Limited,INSURANCE,Compliant
TPLL,TPL Life Insurance Limited,INSURANCE,Compliant
TPLP,TPL Properties Limited,PROPERTY,Compliant
TPLRF1,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,Compliant
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,Compliant
TREET,Treet Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
TRG,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,Compliant
TRIBL,Trust Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Non Compliant
TRIPF,Tri-Pack Films Limited,MISCELLANEOUS,Compliant
TRSM,Trust Modaraba,MODARABAS,Compliant
TSBL,Trust Securities & Brokerage Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
TSMF,Tri-Star Mutual Fund Limited,CLOSE - END MUTUAL FUND,Compliant
TSML,Tandlianwala Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
TSPL,Tri-Star Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
UBDL,United Brands Limited,MISCELLANEOUS,Compliant
UBL,United Bank Limited,COMMERCIAL BANKS,Compliant
UBLPETF,UBLPakistan Enterprise ETF,EXCHANGE TRADED FUNDS,Compliant
UCAPM,Unicap Modaraba,MODARABAS,Compliant
UDLI,UDL International Limited,MISCELLANEOUS,Compliant
UDPL,United Distributors Pakistan Limited,MISCELLANEOUS,Compliant
UNIC,The United Insurance Company,INSURANCE,Compliant
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
USMT,Usman Textile Mills Limited,TEXTILE COMPOSITE,Non Compliant
UVIC,The Universal Insurance Company Limited,INSURANCE,Compliant
WAFI,Wafi Energy Pakistan Limited,OIL & GAS MARKETING COMPANIES,Compliant
WAHN,Wah Noble Chemicals Limited,CHEMICAL,Compliant
WASL,Wasl Mobility Modaraba,MODARABAS,Compliant
WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS,Compliant
WAVESAPP,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS,Compliant
WTL,Worldcall Telecom Limited,TECHNOLOGY & COMMUNICATION,Compliant
YOUW,Yousaf Weaving Mills Limited,TEXTILE WEAVING,Compliant
ZAHID,Zahidjee Textile Mills Limited,TEXTILE COMPOSITE,Compliant
ZAL,Zarea Limited,TECHNOLOGY & COMMUNICATION,Compliant
ZELP,Zeal Pak Cement Factory Limited,CEMENT,Non Compliant
ZIL,ZIL Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
ZTL,Zephyr Textiles Limited,TEXTILE WEAVING,Compliant
ZUMA,Zuma Resources Limited,TEXTILE SPINNING,Non Compliant
