SYMBOL,NAME,SECTOR,STATUS
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS,Compliant
HIRAT,Hira Textile Mills Limited,TEXTILE SPINNING,Non Compliant
HKKT,Hakkim Textile Mills Limited,TEXTILE WEAVING,Non Compliant
HMB,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,Compliant
HMIM,Haji Mohammad Ismail Mills Limited,TEXTILE SPINNING,Non Compliant
HPL,Hoechst Pakistan Limited,PHARMACEUTICALS,Compliant
HRPL,Habib Rice Product Limited.,SUGAR & ALLIED INDUSTRIES,Compliant
HSPI,Huffaz Seamless Pipe Industries Limited,ENGINEERING,Non Compliant
HTL,Hi-Tech Lubricants Limited,OIL & GAS MARKETING COMPANIES,Compliant
HUBC,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,Compliant
HUMNL,Hum Network Limited,TECHNOLOGY & COMMUNICATION,Compliant
HUSI,Husein Industries Limited,PROPERTY,Compliant
HWQS,Haseeb Waqas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Non Compliant
IBFL,Ibrahim Fibres Limited,SYNTHETIC & RAYON,Compliant
IBLHL,IBL HealthCare Limited,PHARMACEUTICALS,Compliant
ICCI,ICC Industries Limited,TEXTILE WEAVING,Compliant
ICIBL,Invest Capital Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
ICL,Ittehad Chemicals Limted,CHEMICAL,Compliant
IDRT,Idrees Textile Mills Limited,TEXTILE SPINNING,Compliant
IDSM,Ideal Spinning Mills Limited,TEXTILE SPINNING,Compliant
IDYM,Indus Dyeing & Manufacturing Co. Limited,TEXTILE SPINNING,Compliant
IGIHL,IGI Holdings Limited,INSURANCE,Compliant
IGIL,IGI Life Insurance Limited,INSURANCE,Compliant
ILP,Interloop Limited,TEXTILE COMPOSITE,Compliant
IMAGE,Image Pakistan Limited,SYNTHETIC & RAYON,Compliant
IML,Imperial Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Non Compliant
IMS,Intermarket Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,Compliant
INIL,International Industries Limited,ENGINEERING,Compliant
INKL,International Knitwear Limited,TEXTILE COMPOSITE,Compliant
INMF,Investec Mutual Fund Limited,CLOSE - END MUTUAL FUND,Non Compliant
IPAK,International Packaging Films Limited,"PAPER, BOARD & PACKAGING",Compliant
IREIT,Image Reit,REAL ESTATE INVESTMENT TRUST,Compliant
ISIL,Ismail Industries Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
ISL,International Steels Limited,ENGINEERING,Compliant
ITANZ,Itanz Technologies Limited,TEXTILE COMPOSITE,Non Compliant
ITTEFAQ,Ittefaq Iron Industries Limited,ENGINEERING,Compliant
JATM,J.A. Textile Mills Limited,TEXTILE SPINNING,Non Compliant
JDMT,Janana De Malucho Textile Mills Limited,TEXTILE SPINNING,Compliant
JDWS,JDW Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
JGICL,Jubilee General Insurance Limited,INSURANCE,Compliant
JKSM,J.K. Spinning Mills Limited,TEXTILE SPINNING,Compliant
JLICL,Jubilee Life Insurance Company Limited,INSURANCE,Compliant
JSBL,JS Bank Limited,COMMERCIAL BANKS,Compliant
JSCL,Jahangir Siddiqui & Co. Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
JSCLPSA,Jahangir Sidd(Pref),INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
JSGBETF,JS Global Banking Sector(ETF),EXCHANGE TRADED FUNDS,Compliant
JSGCL,JS Global Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
JSIL,JS Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
JSMFETF,JS Momentum Factor Exchange Traded Fund,EXCHANGE TRADED FUNDS,Compliant
JSML,Jauharabad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
JUBS,Jubilee Spinning & Weaving Mills Ltd.,TEXTILE COMPOSITE,Non Compliant
JVDC,Javedan Corporation Limited,PROPERTY,Compliant
JVDCPS,Javedan Corporation (Pref),PROPERTY,Compliant
KAKL,Kaiser Arts & Krafts Limited,TEXTILE COMPOSITE,Non Compliant
KAPCO,Kot Addu Power Company Limited,POWER GENERATION & DISTRIBUTION,Compliant
KCL,Karam Ceramics Limited,GLASS & CERAMICS,Compliant
KEL,K-Electric Limited,POWER GENERATION & DISTRIBUTION,Compliant
KHTC,Khyber Tobacco Company Limited,TOBACCO,Compliant
KHYT,Khyber Textile Mills Limited,TEXTILE COMPOSITE,Compliant
KML,Kohinoor Mills Limited,TEXTILE COMPOSITE,Compliant
KOHC,Kohat Cement Company Limited,CEMENT,Compliant
KOHE,Kohinoor Energy Limited,POWER GENERATION & DISTRIBUTION,Compliant
KOHP,Kohinoor Power Company Limited,POWER GENERATION & DISTRIBUTION,Compliant
KOHTM,Kohat Textile Mills Limited,TEXTILE SPINNING,Compliant
KOIL,Kohinoor Industries Limited,TEXTILE COMPOSITE,Compliant
KOSM,Kohinoor Spinning Mills Limited,TEXTILE SPINNING,Compliant
KPUS,Khairpur Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
KSBP,KSB Pumps Company Limited,ENGINEERING,Compliant
KSTM,Khalid Siraj Textile Mills Limited,TEXTILE SPINNING,Non Compliant
KTML,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,Compliant
LCI,Lucky Core Industries Limited,CHEMICAL,Compliant
LEUL,Leather Up Limited,LEATHER & TANNERIES,Compliant
LIVEN,Liven Pharma Limited,PHARMACEUTICALS,Compliant
LIVENR,Liven Pharma Limited(Right),PHARMACEUTICALS,Compliant
LOADS,Loads Limited,AUTOMOBILE PARTS & ACCESSORIES,Compliant
LOTCHEM,Lotte Chemical Pakistan Limited,CHEMICAL,Compliant
LPGL,Leiner Pak Gelatine Limited,CHEMICAL,Compliant
LPL,Lalpir Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
LSECL,LSE Capital Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
LSEFSL,LSE Financial Services Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
LSEVL,LSE Ventures Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
LUCK,Lucky Cement Limited,CEMENT,Compliant
MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING",Compliant
MACTER,Macter International Limited,PHARMACEUTICALS,Compliant
MARI,Mari Energies Limited,OIL & GAS EXPLORATION COMPANIES,Compliant
MCB,MCB Bank Limited,COMMERCIAL BANKS,Compliant
MCBIM,MCB Investment Management Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
MDTL,Media Times Limited,TECHNOLOGY & COMMUNICATION,Non Compliant
MEBL,Meezan Bank Limited,COMMERCIAL BANKS,Compliant
MEHT,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,Compliant
MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING",Compliant
MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
MFL,Matco Foods Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
MFTM,Mohammad Farooq Textile Mills Limited,TEXTILE COMPOSITE,Non Compliant
MIIETF,Mahaana Islamic Index ETF,EXCHANGE TRADED FUNDS,Compliant
MIRKS,Mirpurkhas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
MLCF,Maple Leaf Cement Factory Limited,CEMENT,Compliant
MOHE,Mohib Exports Limited,TEXTILE WEAVING,Non Compliant
MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING,Compliant
MRNS,Mehran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
MSCL,Metropolitan Steel Corporation Limited,ENGINEERING,Compliant
MSOT,Masood Textile Mills Limited,TEXTILE COMPOSITE,Compliant
MSOTPS,Masood Textile (Pref),TEXTILE COMPOSITE,Compliant
MTL,Millat Tractors Limited,AUTOMOBILE ASSEMBLER,Compliant
MUBT,Mubarak Textile Mills Limited,TEXTILE COMPOSITE,Non Compliant
MUGHAL,Mughal Iron & Steel Industries Limited,ENGINEERING,Compliant
MUGHALC,Mughal Iron & Steel Industries Ltd(C),ENGINEERING,Compliant
MUREB,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,Compliant
MZNPETF,Meezan Pakistan ETF,EXCHANGE TRADED FUNDS,Compliant
NAFL,National Fibres Limited,SYNTHETIC & RAYON,Non Compliant
NAGC,Nagina Cotton Mills Limited,TEXTILE SPINNING,Compliant
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
NATM,Nadeem Textile Mills Limited,TEXTILE SPINNING,Compliant
NBP,National Bank of Pakistan,COMMERCIAL BANKS,Compliant
NBPGETF,NBP Pakistan Growth ETF,EXCHANGE TRADED FUNDS,Compliant
NCL,Nishat Chunian Limited,TEXTILE COMPOSITE,Compliant
NCML,Nazir Cotton Mills Limited,TEXTILE SPINNING,Non Compliant
NCPL,Nishat Chunian Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
NESTLE,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
NETSOL,NetSol Technologies Limited,TECHNOLOGY & COMMUNICATION,Compliant
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
NICL,Nimir Industrial Chemicals Limited,CHEMICAL,Compliant
NINA,Nina Industries Limited,TEXTILE COMPOSITE,Non Compliant
NITGETF,NIT Pakistan Gateway ETF,EXCHANGE TRADED FUNDS,Compliant
NMFL,Nirala MSR Foods Limited,FOOD & PERSONAL CARE PRODUCTS,Non Compliant
NML,Nishat Mills Limited,TEXTILE COMPOSITE,Compliant
NONS,Noon Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
NPL,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
NRL,National Refinery Limited,REFINERY,Compliant
NRSL,Nimir Resins Limited,CHEMICAL,Compliant
NSRM,The National Silk & Rayon Mills Limited,SYNTHETIC & RAYON,Compliant
OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES,Non Compliant
OCTOPUS,Octopus Digital Limited,TECHNOLOGY & COMMUNICATION,Compliant
OGDC,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,Compliant
OLPL,OLP Financial Services Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
OLPM,OLP Modaraba,MODARABAS,Compliant
OML,Olympia Mills Limited,MISCELLANEOUS,Compliant
ORM,Orient Rental Mod,MODARABAS,Compliant
OTSU,Otsuka Pakistan Limited,PHARMACEUTICALS,Compliant
PABC,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS,Compliant
PACE,Pace (Pakistan) Limited,PROPERTY,Compliant
PAEL,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,Compliant
PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION,Compliant
PAKL,Pak Leather Crafts Limited,LEATHER & TANNERIES,Compliant
PAKOXY,Pakistan Oxygen Limited,CHEMICAL,Compliant
PAKRI,Pakistan Reinsurance Company Limited,INSURANCE,Compliant
PAKT,Pakistan Tobacco Company Limited,TOBACCO,Compliant
PASL,Pervez Ahmed Consultancy Services Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,Non Compliant
PASM,Paramount Spinning Mills Limited,TEXTILE COMPOSITE,Non Compliant
PCAL,Pakistan Cables Limited,CABLE & ELECTRICAL GOODS,Compliant
